"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"LA F.m. en Facebook, a un clic https://t.co/OXUfuDIMQ1 #OigoLAFm";FALSE;0;NA;2016-09-14 15:30:17;FALSE;NA;"776080638701137957";NA;"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>";"lafm";0;FALSE;FALSE;NA;NA
"Mon patron de stage qui m'ajoute sur facebook au moment ou j'ai besoin d'un stage c'est un signe";FALSE;0;NA;2016-09-14 15:30:17;FALSE;NA;"776080637438681089";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"kev_la_street";0;FALSE;FALSE;NA;NA
"RT @CloutierV: Moins de 2 semaines avant la VENTE DE GARAGE DES ARTISTES de la #fondationveroetlouis #autisme <ed><U+00A0><U+00BD><ed><U+00B2><U+0099> Détails ici: https://t.co/Q…";FALSE;0;NA;2016-09-14 15:30:16;FALSE;NA;"776080632392904705";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"88888Denis";18;TRUE;FALSE;NA;NA
"Hier soir j'ai découvert les nouveaux lipsticks @byterryofficial et ses 25 couleurs <ed><U+00AE><U+00B8><ed><U+00B6><U+0095>
#beauty #love #byterry... https://t.co/e2lzDRL5oc";FALSE;0;NA;2016-09-14 15:30:09;FALSE;NA;"776080605654024192";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"Modasic";0;FALSE;FALSE;NA;NA
"Avis aux sportives tourangelles : cette soirée au Printemps de Tours est pour vous ! https://t.co/ivF3Keac6z https://t.co/8JaSynR43t";FALSE;0;NA;2016-09-14 15:30:09;FALSE;NA;"776080604509179904";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"AnimaAthletica";0;FALSE;FALSE;NA;NA
"J’ai publié une nouvelle photo sur Facebook https://t.co/MyjfpRGMpo";FALSE;0;NA;2016-09-14 15:30:09;FALSE;NA;"776080602609152000";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"ShesheOff";0;FALSE;FALSE;NA;NA
"RT @AfrikaCulture: #Team228 X #Team229
#Myra X #NastyNesta vous donnent rdv pour très bientôt...... https://t.co/dY7NK9v8RV";FALSE;0;NA;2016-09-14 15:30:08;FALSE;NA;"776080599643721728";NA;"<a href=""https://twitter.com/beninbot_"" rel=""nofollow"">benintovibot</a>";"beninbot_";1;TRUE;FALSE;NA;NA
"Tous les [2èmes samedis du mois] de 9h à 10h30, Adeline François aimera des ateliers autour de la 
&gt;&gt; danse... https://t.co/SqzHUd6tpt";FALSE;0;NA;2016-09-14 15:30:07;FALSE;NA;"776080596833533952";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"SAFI_France";0;FALSE;FALSE;NA;NA
"Légèreté, dentelle, soie, romantisme, sexy...mais pas trop! 
Un réel plaisir de vous présenter quelques modèles... https://t.co/l2tvLSoJzX";FALSE;0;NA;2016-09-14 15:30:07;FALSE;NA;"776080596573491200";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"MyEvent_Jenny";0;FALSE;FALSE;NA;NA
"L'Agence pour l'entreprise et l'innovation a lancé cet été son nouvel appel à projet « Vers une École... https://t.co/uqZWPYP7TR";FALSE;0;NA;2016-09-14 15:30:07;FALSE;NA;"776080595755687937";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"enseignons";0;FALSE;FALSE;NA;NA
"Bonjour à tous,
Comme vous pouvez le constater, il n'y a plus beaucoup de photo par ici...  J'aime toujours... https://t.co/Wuk3vCvOeH";FALSE;0;NA;2016-09-14 15:30:07;FALSE;NA;"776080595596087296";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"lolarosa_";0;FALSE;FALSE;NA;NA
"Vous faites quoi ce week-end ? Nous on vous attend à Charleville et Dijon pour nos portes ouvertes ! :) https://t.co/dYgiN4gBiY";FALSE;0;NA;2016-09-14 15:30:07;FALSE;NA;"776080594187018240";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"Primocar_FR";0;FALSE;FALSE;NA;NA
"Profitez de -10% sur tout le site Dalia lors de votre inscription à la newsletter ! 

&gt; https://t.co/yV1HlJq8S6 https://t.co/NTXuvCvjM0";FALSE;0;NA;2016-09-14 15:30:07;FALSE;NA;"776080593876557824";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"daliabijoux";0;FALSE;FALSE;NA;NA
"Les votes des #TalentéoAwards débuteront demain. Préparez vos clics pour élire votre blog favori !

On compte sur... https://t.co/wn5Z2lB9Hc";FALSE;0;NA;2016-09-14 15:30:07;FALSE;NA;"776080593763373056";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"stephaneriviere";0;FALSE;FALSE;NA;NA
"<ed><U+00AE><U+00B8><ed><U+00BC><U+00B0><ed><U+00AE><U+00BA><ed><U+00BD><U+009E> 
""Quel est le SEUL animateur radio qui double votre salaire ?"" 
Et ouuuuuais, c'est Manu dans le 6/9 sur NRJ <ed><U+00AE><U+00B8><ed><U+00BD><U+0083>... https://t.co/8yRfDzu5o0";FALSE;0;NA;2016-09-14 15:30:06;FALSE;NA;"776080592966475776";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"NRJTOURS37";0;FALSE;FALSE;NA;NA
"Vous souhaitez participer : https://t.co/2G7KqBldXk https://t.co/lcZux3bxFU";FALSE;0;NA;2016-09-14 15:30:06;FALSE;NA;"776080592903495684";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"MadridFdm";0;FALSE;FALSE;NA;NA
"Gabin, 10 mois, est inscrit sur https://t.co/fYpRT7hTsz : Concours photo Bébé https://t.co/S5jEq9sOkJ";FALSE;0;NA;2016-09-14 15:30:06;FALSE;NA;"776080592408612864";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"BaybeeConcours";0;FALSE;FALSE;NA;NA
"#TF: Joyeux anniversaire à Douglas Costa qui fête aujourd'hui ses 26 ans ! https://t.co/s9XwktyqVu";FALSE;0;NA;2016-09-14 15:30:06;FALSE;NA;"776080592354107392";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"TalkFoot10";0;FALSE;FALSE;NA;NA
"Mise en lumière de l'Autel de l'église Ste Corneille à Hem
Remplacement des projecteurs halogènes par des... https://t.co/ohfsCxnNaa";FALSE;0;NA;2016-09-14 15:30:06;FALSE;NA;"776080591523573761";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"RS__LED";0;FALSE;FALSE;NA;NA
"Yves Chatton / 28 ans / Chargé de campagnes
Candidat PSR au Conseil de ville, Liste 6

« Bienne est une ville... https://t.co/eKiVVGYP1O";FALSE;0;NA;2016-09-14 15:30:06;FALSE;NA;"776080591221645312";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"votepositif";0;FALSE;FALSE;NA;NA
"Le 21 septembre prochain, relevez le Défi sans auto solo 2016 sous la bannière HEC Montréal en vous déplaçant... https://t.co/dqNq5sEQdU";FALSE;0;NA;2016-09-14 15:30:06;FALSE;NA;"776080590864994304";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"HECOresponsable";0;FALSE;FALSE;NA;NA
"<ed><U+00AE><U+00B9><ed><U+00B3><U+00B2><ed><U+00AE><U+00B9><ed><U+00B3><U+00B2>Vente Flash Alassio Hôtels &amp; Thalasso 4* 
Du 15/09/2016 Au 18/09/2016 à partir de 39dt600 en DP avec 1er et... https://t.co/bbTisHIj0g";FALSE;0;NA;2016-09-14 15:30:06;FALSE;NA;"776080590235963393";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"TAHAVOYAGE";0;FALSE;FALSE;NA;NA
"Qui veut le même frigo??

#insolite
Rejoins nous sur <U+27A1> InsoliteWeb <U+2B05> https://t.co/mYka5yMwtC";FALSE;0;NA;2016-09-14 15:30:05;FALSE;NA;"776080588835024897";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"leweb_insolite";0;FALSE;FALSE;NA;NA
"L'album hommage à Elvin Jones de Will Calhoun est   chroniqué dans Jazz Magazine ! Merci à eux.

Membran... https://t.co/K6PPPngGMq";FALSE;0;NA;2016-09-14 15:30:05;FALSE;NA;"776080588407185409";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"ElliePromotion";0;FALSE;FALSE;NA;NA
"NOUVEL ARTICLE: Mon expérience Zéro Maquillage pendant 1 mois <U+2192>... https://t.co/KnoxwKjomI";FALSE;0;NA;2016-09-14 15:30:05;FALSE;NA;"776080588054855680";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"TheCindyDiary";0;FALSE;FALSE;NA;NA
"Visit, support &amp; participate in: https://t.co/j3DDddoq0i https://t.co/wVit8vt6sT";FALSE;1;NA;2016-09-14 15:30:05;FALSE;NA;"776080587622940672";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"amitava235";0;FALSE;FALSE;NA;NA
"DERNIÈRE HEURE! Je viens de prendre en photo la chef d'un nouveau groupe de motards à Drummond... Ouvrez l'oeil... https://t.co/FGauTyUHHB";FALSE;0;NA;2016-09-14 15:30:05;FALSE;NA;"776080586863628288";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"Rougefm1053";0;FALSE;FALSE;NA;NA
"Déjà les Salons du Mariage qui reprennent ;)
Pour les futurs mariés qui souhaitent me rencontrer, je serai à... https://t.co/PkhZWVf8kd";FALSE;0;NA;2016-09-14 15:30:05;FALSE;NA;"776080586356031488";NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"LAFEEDUNJOUR";0;FALSE;FALSE;NA;NA
"C'est pas mon idée !: Facebook Messenger accepte les paiements https://t.co/Bb5q79dkKC";FALSE;0;NA;2016-09-14 15:30:04;FALSE;NA;"776080584766619649";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"AltaviaWatch";0;FALSE;FALSE;NA;NA
